Album,Artist,Album Date
NEBULA,"flashbang, Sadbalmain",2022-07-29
Maria...?,Dontlookatmyface,2022-07-01
s5,5ubaruu,2022-01-16
MAiNFRAME FAiLURE,IX Fall$,2022-07-08
Agoraphobia,strxwberrymilk,2021-05-09
Silver Tapes,Ace-End,2022-07-20
sunder,"hxly xo, 4breeze",2022-07-08
By The Lake,vmrrobotic,2022-06-30
icemouth222,damaggge,2022-03-16
Bubbles,Sonic Rain,2022-06-03
always a part of me,jinkasei,2022-07-06
The Blubbering Madonna,Delancey Throne,2022-06-07
Come Home,Racquan,2021-12-03
Tesseract,SPURME,2022-07-01
blurred,"Homele$$, Sixteen666",2022-07-07
Plastic Memories,Cvmpliant,2022-03-20
tears (in the club),intoqu,2022-04-10
Break Me to My Core,Starmoon,2022-05-24
prsm trnsfomation,xxhardbit3s,2021-05-26
Asphyxiation Tapes,LVCA LEON,2022-06-03
digital,Lydels,2022-04-02
Bliss And Death,"SPURME, TheAster",2022-02-11
Wagenmuzik,"gum.mp3, disctr4k",2022-07-14
(dis).com★,Emma Aibara,2022-07-16
Premonition,Mayo.,2022-04-01
Tartarus,Skizmo,2022-05-21
PROGRAM ALPHA,Star Trash,2022-07-08
running up that hill (Remix),In Explosions,2022-07-12
CROWS,"The Khan, ize",2021-06-03
The Virtue of Fire,27zig,2022-06-23
CRUSTY,flashbang,2022-07-16
RUN (Trance Edit),amore,2022-07-15
Hatred,Iwakura,2022-06-26
makeup for boys,KasaLovr,2022-06-06
Flames to Dust,"amore, jinkasei",2022-12-16
hello.world,yion,2022-07-01
searchingfornobody,Mello Uun,2022-07-21
i don't remember much,damaggge,2022-05-15
chazza,sevnce,2022-06-03
Gogo Yubari,"Egofear, FlowerBoyDeMii",2022-07-22
CYBERTECH FUTURISTICA,"Yung Lain, SPURME",2022-07-22
Head Goes All Ways,TheAster,2022-03-20
wait forever !,"wearingyourlove, genumi",2022-07-07
For a Friend,Aeriu Ika,2022-07-01
underwater_level,p0lar,2022-02-11
Breakcore Yassification,Starmoon,2022-06-19
mania,kazahana,2021-11-16
Pills,Yung Lain,2022-07-10
i'm too tired for this,voont,2022-04-08
empathy purge,"Purity Filter, Vertigoaway",2022-10-31
Aether,Mayo.,2022-07-23
morphine,Homele$$,2022-07-29
It's Not Easy!,BTD666,2022-07-29
Mixed Gates,Eden FM,2022-06-24
Flight 999,"Egofear, Yung Lain",2022-07-29
Huddle,Outback,2022-02-04
Fall Of Icarus,"LitoTheDon, kuru",2022-07-01
without you,VEXD,2022-07-07
seraph.am,MANAPOOL,2022-05-18
Immortal Spirit,"Purity Filter, azul",2022-04-08
dreamcast! EP,GRIMEY!,2022-01-28
Shattering In The Rain,Aeriu Ika,2022-07-29
MOVING ON,maladapt,2022-07-29
butterfly-s,11vx,2022-02-18
savestate,boy 2000,2022-05-10
Downhill Select,"Downhill2k01, g0r3c0r3",2021-12-22
let me hear you say,disctr4k,2022-06-19
D-R-O-W-N,POSITIVE+,2022-07-15
Face The Future,DXRKWRLD,2022-08-05
My Feeling Of Given Up,Yung Lain,2022-08-05
DREAMSTATION 2000,flashbang,2022-08-09
crystal pyramids,LVCA LEON,2022-07-23
Golden Gaze,Sonic Rain,2022-07-11
nemesis,Lydels,2022-08-06
eat me alive,s4dunicorn,2022-08-04
Accela,4banga,2022-08-04
Ice In My Eyes,Yung Lain,2022-07-29
Purify Me,Heatace,2022-08-06
machine.learning,yion,2022-08-12
Anoesis,"Dontlookatmyface, Trashiii",2022-08-12
"it won't be long, i'll see you soon.",yuurusu,2022-03-23
Existance,Yung Lain,2022-08-19
Mind Racing,Mystafai,2022-08-19
human wanderings,LOMAJI,2022-05-13
otherworld,"optic core, Dazegxd",2022-12-30
Manifest,"JavR, Vxlious",2022-06-03
BLUE,Skizmo,2022-08-22
k00pahari,Yesterdayneverhappened,2022-08-24
Corruptеd (Iwakura Remix),"Midbooze, Iwakura",2022-08-20
Junta,Delancey Throne,2022-08-25
permafrost,hxly xo,2022-08-26
ON & ON,Muddyoush,2022-08-19
"Only Myself, Don't Be Affected By Others",TheAster,2022-08-27
yuurion.v1,"yuurusu, yion",2022-05-04
and then i woke up,AKIBA,2022-09-04
find your way back,TURQUOISEDEATH,2022-08-27
Wired ☁︎,Woozie Face,1969-04-20
washed up,Homele$$,2022-08-31
Existance : Side B,"Yung Lain, jinkasei",2022-09-02
Endorphins,FlowerBoyDeMii,2022-04-30
ABSENCE,yeahsokaye,2022-05-13
Just a Ride,"Criss Conflict, Theo Varda",2020-05-01
Starfields,TURQUOISEDEATH,2022-09-16
Neon White Soundtrack Part 1  The Wicked Heart ,Machine Girl,2022-06-16
Nightcore Anxiety,skaluh,2022-12-17
ANGELIC,kazahana,2022-08-28
CYBERNETIC JUMP,Trashiii,2022-09-30
cyan,parallel21,2022-08-26
RePorpoised Phantasies,Machine Girl,2020-07-03
Snow,Heatace,2022-09-29
EXISTANC3 R3BOOT,vmrrobotic,2022-09-23
PAINT THE WORLD BLUE,TURQUOISEDEATH,2022-09-30
WHAT ONCE WAS,IX Fall$,2022-10-14
skinwalker,Homele$$,2022-10-14
the craved thoughts: Pages 20-24,FlowerBoyDeMii,2022-10-14
mia,LVCA LEON,2022-10-14
svnshine,LVCA LEON,2022-10-06
sleeping on railways,Elicit,2022-10-14
Synchronize,Elicit,2022-07-24
sundown×mitsu/ansa,jinkasei,2022-10-19
Iridescence,"Skizmo, POSITIVE+",2022-10-08
daydreamer,"Enkei, SPURME",2022-10-21
dark opal scythe,oooz,2022-09-09
Conceited Reality,Mayo.,2022-10-22
unknown,Blksmiith,2022-10-21
OFF AXIS,MaybeImTyler,2022-10-27
realornot?,wev,2022-10-28
OFF AXIS,"MaybeImTyler, Blksmiith",2022-10-27
Dissociative Memories,*teeth,2022-10-29
tengoku,Emma Aibara,2022-10-30
Tartarus,"Skizmo, neon vapour",2022-07-19
apartment complex lovers,"TURQUOISEDEATH, 2 0 2 1",2022-10-28
deepdive2005,jinkasei,2022-11-04
Digital Moonlight,Elicit,2022-11-04
Have You Seen Me?,Elicit,2022-10-28
interlinked.mp3,eternalrain.mp3,2022-11-18
For a Friend,"Aeriu Ika, neon vapour",2022-11-12
Everything and Anything,kirakira,2022-11-04
Cultivator,Aeriu Ika,2022-10-07
breakcore is a good way to get laid,toadmilk,2022-10-11
otherworld,"optic core, Blksmiith",2022-12-30
Deep Breaths,zxmablue,2022-10-28
You Wouldn't Download A Car.,Egofear,2022-11-28
Magister,Type R,2022-05-20
://Cyber.Love,Egofear,2022-11-05
Broken,"SPXRXT, toadmilk",2022-10-08
Noctambule,Yung Lain,2022-11-11
Fairy,Yung Lain,2022-09-26
out of it,wearingyourlove,2022-11-22
SCATTER,flashbang,2022-11-04
NO MERCY,"Nedaj, amore",2022-12-02
Secret Memories,Eden FM,2022-08-05
Shinda warutsu,Rory in early 20s,2021-05-08
Schlierberg,Kaizo Slumber,2021-12-24
One Foot in the Rave,Shitmat,2009-05-18
i'm in your walls,death insurance,2022-02-22
Fool's Gold,vmrrobotic,2022-11-25
A Normal Sized Pack Of Eggs Currently Cost 6.99 At Your Local Convenience Store,Radium,2022-08-05
access code obtained! im in!,Terahurtz,2022-09-25
Bus Stop,CYCLOPOP,2022-11-10
irys✧* ･ﾟ greatest hits,irystheworld,2022-11-10
Spiral,skaluh,2022-12-01
crying in the club,"s4dunicorn, SXDSHXWTY",2022-11-11
absence / glimpse,blushʕ ꈍᴥꈍʔ,2022-10-31
Club Cyberia ver.1.5328302427312...,tresworstenemy,2022-10-28
Desolate,Elicit,2022-12-02
Breaking Point,GermsNightmare,2022-12-09
Trauma Induced Nightmare,Midbooze,2022-11-12
i don't remember,vahybz,2022-10-14
papercuts,hxly xo,2022-10-21
novo cove,"hxly xo, 4breeze",2022-10-28
ORANGE,Skizmo,2022-11-21
Shibuya,$catterbrain,2022-11-12
ᴠɪʀᴛᴜᴀʟ®️ᴅᴏʟʟᴢ,VICTORMAXX,2022-10-18
H3LL ON EARTH,VICTORMAXX,2022-09-06
P S Y C H O S I S,Virtual Death,2022-12-15
Where's my arc,vinoine,2022-10-19
NEURAL HIGHWAY,yeahsokaye,2022-10-24
LightIsntDead,DIJAH,2022-12-16
a step away / bittersweet!,Lydels,2022-12-16
Stickynote!,MIDIUM,2022-08-10
Midnight's Terminal,Guita Boo,2022-12-17
angelwings,DJ DEADHORSES,2022-11-18
Go Slow,Yung Lain,2022-12-14
Bubblegum Crisis,"Suzukisan, Mezavant",2022-11-08
IF YOU DONT KNOW,MaybeImTyler,2023-01-05
Orbital Frames,Human Centerpiece,2023-01-06
Jungle Impact,D.S.S.,2022-10-22
sigil-SECT,"hxly xo, hiræth",2023-01-01
Enigma,Midbooze,2022-02-22
MidiOS,MIDIUM,2022-12-23
Break (Bust It Down!),SUSKI!,2022-12-10
Boku Mo Wakaran,Bogdan Raczynski,1999-03-29
S u r r e a l i t y,TOKYOPILL,2023-01-20
Tenochtitlan,Calaverx,2022-03-09
Size,Size,2018-11-02
The Vox (Vol. 1) [1985-1989],Decada 2,2016-02-22
Sigue Soplando el Anima,El Clan,1998-Unknown
Cosmódromo,Equinoxious,2016-09-01
Film,Casino Shanghai,1985-06-01
Cold Tears of an Angel,HOFFEN,2016-01-01
Eternos,Leonora Post Punk,2020-05-07
Atlas,I Can Fly,2017-05-09
Revlover,Emilio Revólver,2019-01-08
Vacui I,Alkalá,2019-10-04
Moderne Zeiten,Neue Strassen,2017-03-11
Lunas,Inovercy,2020-04-12
Vamos,Calaverx,2021-01-01
Et Vidi Lucem...,Lucida Fila,2020-08-06
Possessions,Dance Skeleton,2020-06-05
Deadbeat,Prismatic Shapes,2020-04-03
Magia Negra,Calaverx,2020-07-05
A.r.m.a.,ZODIAC ZODIAC,2019-04-01
Theories of Human Machine,Beatcrafted,2020-04-28
Stranger and Lovers,Stranger and Lovers,2019-11-27
Daniela Vald EP,Daniela Vald,2019-09-08
Movimiento Máquina (International Brotherhood of Machines),Rebel Empire,2017-09-15
Flexible,Flexible,2017-02-05
Ángel,Decena Trágica,2019-12-17
Depraved Priest,Depraved Priest,2020-07-03
Rugiendo De Furia,Hatrox,2020-07-03
Maquinarias,Ultimattum,2019-08-02
I Can Fly,I Can Fly,2015-07-27
"Stereochip Mixtape, Vol. 1",Werner Karloff,2018-06-20
Esfera,Mekrokiev,2011-10-28
Lean (Post-Punk),Saúl De los Santos,2020-09-17
Letargo,Los Malkavian,2018-07-11
Lápidas de Sal,Funeralz,2020-08-07
Capítulo 2,Silis,2020-01-10
Assembly of Shadows,"Dead Stop Mx, Mike Dead, Paco Almazán, Joél Rodríguez, Kelvin Nosti",2020-06-01
Homónimo,Fausto,2017-09-22
Perdido,Strongville,2020-07-24
Monotonous City,Monotonous Cities,2018-01-01
Entidad Mutante - 9132 Días (Remasterizada),El Clan,2017-09-01
El Nervio Del Volcan,Caifanes,1994-Unknown
Dominacion,Cruz De Navajas,2018-02-14
2020,Orlok,2020-03-27
Hit You,Nite Shadows,2018-01-01
Freedom Melodies,Capitals,2019-09-11
¿Estrero?,Estrero,2019-12-11
Blackmail,Inhabitants MX,2018-05-08
Sarajevo,Acid Fader,2019-07-18
"Colder Streets: Cold Wave / Minimal Synth Compilation, Vol. 1",The Funeral Medieval,2020-03-27
Mezcal a pleno vuelo,La Bande-Son Imaginaire,2018-04-09
Nubes,San Charbel,2017-03-10
Hollow,Hvmvn,2017-12-15
Caifanes,Caifanes,1988-05-15
Anarquía Coronada,El Ojo Y La Navaja,2018-08-01
Tú Besando la Locura,Hueco,2020-09-18
Mientras Esperas,Mint Field,2019-03-01
The Collection,Vestron Vulture,2018-01-01
Post-Punk / Mementut Itsog Album Completo,Mementut,2020-10-13
Una Mirada a Través De La Medusa (Un Ensayo Incompleto),SUNNSET,2019-05-18
